outcome,h,estimate,ci_lower,ci_upper,N_eff,method
TIENE_BILLETERA,3,0.004964188219614051,-0.04731513425501526,0.05724351069424336,6891,statsmodels_WLS
TIENE_BILLETERA,5,-0.001582473626618064,-0.07234987691295904,0.06918492965972291,8926,rdrobust
TIENE_BILLETERA,7,-0.00011081554836897545,-0.055072154079772076,0.054850522983034125,12831,rdrobust
TIENE_BILLETERA,10,-0.008287895786163457,-0.05459865323232431,0.038022861659997395,18649,rdrobust
TIENE_BILLETERA,14,-0.0062177068274518466,-0.04722089153947729,0.0347854778845736,26035,rdrobust
TIENE_BILLETERA,18,-0.0021620030283886482,-0.03990729561151439,0.035583289554737094,33267,rdrobust
TIENE_BILLETERA,24,0.0026274554173490727,-0.03268793570007101,0.037942846534769155,43200,rdrobust
USA_BILLETERA,3,0.013414583682210542,-0.024374872968997752,0.05120404033341884,6891,statsmodels_WLS
USA_BILLETERA,5,0.004008681422492888,-0.054669081781014525,0.0626864446260003,8926,rdrobust
USA_BILLETERA,7,0.013273591346003824,-0.02850863087458791,0.05505581356659556,12831,rdrobust
USA_BILLETERA,10,0.007066846221959439,-0.03315367627428473,0.047287368718203604,18649,rdrobust
USA_BILLETERA,14,0.0026496117854832024,-0.036313011831406554,0.04161223540237296,26035,rdrobust
USA_BILLETERA,18,0.0017719117007816837,-0.033830464998832174,0.03737428840039554,33267,rdrobust
USA_BILLETERA,24,0.004686261341440262,-0.028154605197119965,0.03752712788000049,43200,rdrobust
