outcome,especificacion,N,fs_coef,fs_se,fs_p,fs_sig,rf_coef,rf_se,rf_p,rf_sig,late,late_se,late_p,late_sig,ic95_lo,ic95_hi
TIENE_BILLETERA,Sin controles,2288,0.1348,0.0175,0.0,***,-0.0006,0.0243,0.9795,n.s.,-0.0046,0.1805,0.9795,n.s.,-0.358,0.349
TIENE_BILLETERA,Con controles,2288,0.1343,0.0179,0.0,***,-0.0042,0.0231,0.8556,n.s.,-0.0313,0.1719,0.8556,n.s.,-0.368,0.306
USA_BILLETERA,Sin controles,2288,0.1348,0.0175,0.0,***,0.0017,0.0172,0.9208,n.s.,0.0127,0.1275,0.9208,n.s.,-0.237,0.263
USA_BILLETERA,Con controles,2288,0.1343,0.0179,0.0,***,-0.0021,0.0164,0.8987,n.s.,-0.0155,0.1219,0.8987,n.s.,-0.254,0.223
BANCO_PREVIO,Sin controles,2288,0.1348,0.0175,0.0,***,0.0959,0.0391,0.0142,**,0.7114,0.3043,0.0194,**,0.115,1.308
BANCO_PREVIO,Con controles,2288,0.1343,0.0179,0.0,***,0.0855,0.0358,0.0171,**,0.6361,0.2798,0.023,**,0.088,1.184
BANCO_PRIVADO,Sin controles,2288,0.1348,0.0175,0.0,***,0.087,0.0376,0.0209,**,0.6452,0.2915,0.0269,**,0.074,1.217
BANCO_PRIVADO,Con controles,2288,0.1343,0.0179,0.0,***,0.0768,0.0352,0.0291,**,0.5717,0.2726,0.036,**,0.037,1.106
BANCO_NACION,Sin controles,2288,0.1348,0.0175,0.0,***,-0.0013,0.0274,0.9612,n.s.,-0.0099,0.2035,0.9612,n.s.,-0.409,0.389
BANCO_NACION,Con controles,2288,0.1343,0.0179,0.0,***,-0.0083,0.0241,0.73,n.s.,-0.062,0.1799,0.7302,n.s.,-0.415,0.291
